IncidentSummary,ResolutionText,RootCause,HoursOfDowntime,OverallSeverity,CompanyAccountability,Department_DevOps,Department_IT,Department_Ops,Department_Security,PlatformType_Cloud,PlatformType_Database,PlatformType_Hardware,PlatformType_Web,Timestamp
Security breach detected in user accounts,Replaced faulty disk and restored database from backup,Power outage,5.907702655549208,3,1,True,False,False,False,False,False,False,True,2024-03-21 16:36:21.240047
Software bug causing intermittent crashes,Patched software to fix the bug,Software bug,5.658693393574395,1,1,True,False,False,False,False,False,True,False,2024-03-01 16:36:21.240047
API response times increased during peak hours,Scaled up API servers to handle increased load,Security breach,8.177148712137438,3,1,True,False,False,False,False,False,True,False,2024-03-23 16:36:21.240047
Software bug causing intermittent crashes,Fixed user authentication service,Memory leak,5.585098947413663,2,0,False,False,False,True,True,False,False,False,2024-05-04 16:36:21.240047
API response times increased during peak hours,Scaled up API servers to handle increased load,Network congestion,7.574887617642211,4,0,False,True,False,False,False,False,True,False,2024-03-23 16:36:21.240047
Network congestion leading to slow internet,Scaled up API servers to handle increased load,Software bug,26.871966456222335,4,1,False,False,True,False,False,False,False,True,2024-05-10 16:36:21.240047
Software bug causing intermittent crashes,Restored power and restarted affected systems,Disk failure,9.704545843446892,4,0,False,False,True,False,False,True,False,False,2024-05-16 16:36:21.240047
High latency observed during peak hours,Restored power and restarted affected systems,Network failure,4.722949303362873,1,1,False,False,True,False,False,False,False,True,2024-03-22 16:36:21.240047
Software bug causing intermittent crashes,Replaced faulty disk and restored database from backup,Power outage,-0.7338141973903594,2,0,True,False,False,False,False,False,False,True,2024-03-09 16:36:21.240047
Server outage caused by network failure,Patched software to fix the bug,Memory leak,7.590888032356599,4,1,False,True,False,False,False,False,False,True,2024-04-12 16:36:21.240047
Software bug causing intermittent crashes,Replaced faulty disk and restored database from backup,Authentication service bug,7.369177281254201,4,1,True,False,False,False,False,True,False,False,2024-02-27 16:36:21.240047
Server outage caused by network failure,Secured user accounts and investigated breach,Network congestion,6.808426103811852,2,0,True,False,False,False,False,False,False,True,2024-03-22 16:36:21.240047
Power outage affecting data center operations,Scaled up API servers to handle increased load,Authentication service bug,6.734132127429417,2,1,False,True,False,False,True,False,False,False,2024-04-04 16:36:21.240047
Database crash due to hardware issue,Patched software to fix the bug,Memory leak,2.173340284144364,1,0,False,False,True,False,True,False,False,False,2024-03-07 16:36:21.240047
Database crash due to hardware issue,Optimized network traffic routing and cleared congestion,Spam filter issue,8.479892079146468,2,0,False,False,False,True,True,False,False,False,2024-04-27 16:36:21.240047
Email service outage due to spam filter issue,Restored power and restarted affected systems,Resource bottleneck,8.582526632445411,4,0,False,False,True,False,False,True,False,False,2024-04-23 16:36:21.240047
Email service outage due to spam filter issue,Fixed user authentication service,Disk failure,9.71217896735096,4,1,True,False,False,False,True,False,False,False,2024-05-14 16:36:21.240047
API response times increased during peak hours,Replaced faulty disk and restored database from backup,Disk failure,8.231565292837987,4,1,False,True,False,False,True,False,False,False,2024-05-10 16:36:21.240047
High latency observed during peak hours,Fixed user authentication service,Security breach,2.4328278806863337,2,0,False,False,False,True,False,False,True,False,2024-02-17 16:36:21.240047
Network congestion leading to slow internet,Rebooted server and reset network configurations,Authentication service bug,3.742917264318511,1,0,False,False,True,False,True,False,False,False,2024-02-28 16:36:21.240047
Email service outage due to spam filter issue,Fixed user authentication service,Hardware issue,11.363155614240306,1,1,False,False,True,False,False,True,False,False,2024-03-13 16:36:21.240047
High latency observed during peak hours,Secured user accounts and investigated breach,Authentication service bug,3.730218273564994,4,1,False,True,False,False,False,False,True,False,2024-02-25 16:36:21.240047
High latency observed during peak hours,Fixed memory leak and restarted application server,Network failure,10.43263896781873,1,1,True,False,False,False,False,False,True,False,2024-05-13 16:36:21.240047
API response times increased during peak hours,Rebooted server and reset network configurations,Network congestion,5.089355296493522,3,0,False,False,True,False,False,False,False,True,2024-03-02 16:36:21.240047
Memory leak in application server,Secured user accounts and investigated breach,Authentication service bug,7.948134223344015,2,0,False,False,True,False,False,True,False,False,2024-04-21 16:36:21.240047
Email service outage due to spam filter issue,Rebooted server and reset network configurations,Authentication service bug,5.4486369026196355,3,1,True,False,False,False,False,False,False,True,2024-05-04 16:36:21.240047
Database crash due to hardware issue,Restored power and restarted affected systems,Network failure,9.635586628704143,1,1,False,False,True,False,True,False,False,False,2024-04-16 16:36:21.240047
Database crash due to hardware issue,Patched software to fix the bug,Security breach,7.996851515783939,2,0,False,False,False,True,False,False,True,False,2024-04-28 16:36:21.240047
User login issues reported,Patched software to fix the bug,Power outage,2.2465572246958088,4,1,True,False,False,False,True,False,False,False,2024-02-18 16:36:21.240047
Server outage caused by network failure,Scaled up resources to handle peak traffic,Authentication service bug,4.3553179142714065,1,0,True,False,False,False,True,False,False,False,2024-03-12 16:36:21.240047
Network congestion leading to slow internet,Replaced faulty hardware components,Power outage,6.845330826073492,3,1,False,False,False,True,False,False,False,True,2024-04-12 16:36:21.240047
Memory leak in application server,Replaced faulty disk and restored database from backup,Security breach,7.723427214220787,4,1,True,False,False,False,False,True,False,False,2024-03-20 16:36:21.240047
Database crash due to hardware issue,Scaled up resources to handle peak traffic,Software bug,4.94504690943357,2,1,False,True,False,False,False,False,False,True,2024-03-20 16:36:21.240047
High latency observed during peak hours,Replaced faulty disk and restored database from backup,Disk failure,2.8855845751950007,1,1,False,False,False,True,True,False,False,False,2024-03-21 16:36:21.240047
Network congestion leading to slow internet,Replaced faulty disk and restored database from backup,Power outage,2.9316913717635096,4,1,False,True,False,False,False,True,False,False,2024-02-26 16:36:21.240047
Email service outage due to spam filter issue,Scaled up API servers to handle increased load,Spam filter issue,8.318991337070258,3,1,False,False,True,False,False,True,False,False,2024-04-05 16:36:21.240047
Memory leak in application server,Replaced faulty disk and restored database from backup,Authentication service bug,7.906979488645616,2,1,True,False,False,False,False,False,True,False,2024-05-13 16:36:21.240047
Power outage affecting data center operations,Secured user accounts and investigated breach,Network failure,5.473062552047957,4,0,True,False,False,False,False,False,False,True,2024-02-22 16:36:21.240047
Memory leak in application server,Scaled up resources to handle peak traffic,Spam filter issue,14.343351648425035,2,1,False,False,False,True,False,True,False,False,2024-05-01 16:36:21.240047
